"cid","tid","TARGETID","keggid","keggname"
941361,"D05CEU","T54644","hsa04010","MAPK signaling pathway"
941361,"D05CEU","T54644","hsa04020","Calcium signaling pathway"
941361,"D05CEU","T54644","hsa04713","Circadian entrainment"
941361,"D05CEU","T34949","hsa04010","MAPK signaling pathway"
941361,"D05CEU","T34949","hsa04020","Calcium signaling pathway"
941361,"D05CEU","T34949","hsa04721","Synaptic vesicle cycle"
941361,"D05CEU","T34949","hsa04723","Retrograde endocannabinoid signaling"
941361,"D05CEU","T34949","hsa04724","Glutamatergic synapse"
941361,"D05CEU","T34949","hsa04725","Cholinergic synapse"
941361,"D05CEU","T34949","hsa04726","Serotonergic synapse"
941361,"D05CEU","T34949","hsa04727","GABAergic synapse"
941361,"D05CEU","T34949","hsa04728","Dopaminergic synapse"
941361,"D05CEU","T34949","hsa04730","Long-term depression"
941361,"D05CEU","T34949","hsa04742","Taste transduction"
941361,"D05CEU","T34949","hsa04930","Type II diabetes mellitus"
941361,"D05CEU","T34949","hsa05032","Morphine addiction"
941361,"D05CEU","T34949","hsa05033","Nicotine addiction"
245005,"D0A1MW","T39716","hsa04261","Adrenergic signaling in cardiomyocytes"
3423,"D06XTT","T51115","hsa04010","MAPK signaling pathway"
3423,"D06XTT","T51115","hsa04020","Calcium signaling pathway"
3423,"D06XTT","T51115","hsa04022","cGMP-PKG signaling pathway"
3423,"D06XTT","T51115","hsa04024","cAMP signaling pathway"
3423,"D06XTT","T51115","hsa04260","Cardiac muscle contraction"
3423,"D06XTT","T51115","hsa04261","Adrenergic signaling in cardiomyocytes"
3423,"D06XTT","T51115","hsa04270","Vascular smooth muscle contraction"
3423,"D06XTT","T51115","hsa04713","Circadian entrainment"
3423,"D06XTT","T51115","hsa04720","Long-term potentiation"
3423,"D06XTT","T51115","hsa04723","Retrograde endocannabinoid signaling"
3423,"D06XTT","T51115","hsa04724","Glutamatergic synapse"
3423,"D06XTT","T51115","hsa04725","Cholinergic synapse"
3423,"D06XTT","T51115","hsa04726","Serotonergic synapse"
3423,"D06XTT","T51115","hsa04727","GABAergic synapse"
3423,"D06XTT","T51115","hsa04728","Dopaminergic synapse"
3423,"D06XTT","T51115","hsa04911","Insulin secretion"
3423,"D06XTT","T51115","hsa04912","GnRH signaling pathway"
3423,"D06XTT","T51115","hsa04921","Oxytocin signaling pathway"
3423,"D06XTT","T51115","hsa04930","Type II diabetes mellitus"
3423,"D06XTT","T51115","hsa05010","Alzheimer's disease"
3423,"D06XTT","T51115","hsa05031","Amphetamine addiction"
3423,"D06XTT","T51115","hsa05410","Hypertrophic cardiomyopathy (HCM)"
3423,"D06XTT","T51115","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
3423,"D06XTT","T51115","hsa05414","Dilated cardiomyopathy"
4913,"D0U5SI","T12819","hsa04115","p53 signaling pathway"
4913,"D0U5SI","T12819","hsa04120","Ubiquitin mediated proteolysis"
1236,"D05IML","T92609","hsa04020","Calcium signaling pathway"
1236,"D05IML","T92609","hsa04022","cGMP-PKG signaling pathway"
1236,"D05IML","T92609","hsa04080","Neuroactive ligand-receptor interaction"
1236,"D05IML","T92609","hsa04152","AMPK signaling pathway"
1236,"D05IML","T92609","hsa04261","Adrenergic signaling in cardiomyocytes"
1236,"D05IML","T92609","hsa04270","Vascular smooth muscle contraction"
1236,"D05IML","T92609","hsa04970","Salivary secretion"
1236,"D05IML","T51115","hsa04010","MAPK signaling pathway"
1236,"D05IML","T51115","hsa04020","Calcium signaling pathway"
1236,"D05IML","T51115","hsa04022","cGMP-PKG signaling pathway"
1236,"D05IML","T51115","hsa04024","cAMP signaling pathway"
1236,"D05IML","T51115","hsa04260","Cardiac muscle contraction"
1236,"D05IML","T51115","hsa04261","Adrenergic signaling in cardiomyocytes"
1236,"D05IML","T51115","hsa04270","Vascular smooth muscle contraction"
1236,"D05IML","T51115","hsa04713","Circadian entrainment"
1236,"D05IML","T51115","hsa04720","Long-term potentiation"
1236,"D05IML","T51115","hsa04723","Retrograde endocannabinoid signaling"
1236,"D05IML","T51115","hsa04724","Glutamatergic synapse"
1236,"D05IML","T51115","hsa04725","Cholinergic synapse"
1236,"D05IML","T51115","hsa04726","Serotonergic synapse"
1236,"D05IML","T51115","hsa04727","GABAergic synapse"
1236,"D05IML","T51115","hsa04728","Dopaminergic synapse"
1236,"D05IML","T51115","hsa04911","Insulin secretion"
1236,"D05IML","T51115","hsa04912","GnRH signaling pathway"
1236,"D05IML","T51115","hsa04921","Oxytocin signaling pathway"
1236,"D05IML","T51115","hsa04930","Type II diabetes mellitus"
1236,"D05IML","T51115","hsa05010","Alzheimer's disease"
1236,"D05IML","T51115","hsa05031","Amphetamine addiction"
1236,"D05IML","T51115","hsa05410","Hypertrophic cardiomyopathy (HCM)"
1236,"D05IML","T51115","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
1236,"D05IML","T51115","hsa05414","Dilated cardiomyopathy"
1236,"D05IML","T53381","hsa04020","Calcium signaling pathway"
1236,"D05IML","T53381","hsa04022","cGMP-PKG signaling pathway"
1236,"D05IML","T53381","hsa04080","Neuroactive ligand-receptor interaction"
1236,"D05IML","T53381","hsa04261","Adrenergic signaling in cardiomyocytes"
1236,"D05IML","T53381","hsa04270","Vascular smooth muscle contraction"
1236,"D05IML","T53381","hsa04970","Salivary secretion"
1236,"D05IML","T29500","hsa04020","Calcium signaling pathway"
1236,"D05IML","T29500","hsa04022","cGMP-PKG signaling pathway"
1236,"D05IML","T29500","hsa04080","Neuroactive ligand-receptor interaction"
1236,"D05IML","T29500","hsa04261","Adrenergic signaling in cardiomyocytes"
1236,"D05IML","T29500","hsa04270","Vascular smooth muscle contraction"
1236,"D05IML","T29500","hsa04970","Salivary secretion"
105008,"D0V4WT","T67063","hsa04022","cGMP-PKG signaling pathway"
105008,"D0V4WT","T67063","hsa04270","Vascular smooth muscle contraction"
105008,"D0V4WT","T67063","hsa04911","Insulin secretion"
105008,"D0V4WT","T67063","hsa04970","Salivary secretion"
105008,"D0V4WT","T67063","hsa04972","Pancreatic secretion"
105008,"D0V4WT","T52297","hsa03320","PPAR signaling pathway"
105008,"D0V4WT","T52297","hsa04932","Non-alcoholic fatty liver disease (NAFLD)"
105008,"D0V4WT","T52297","hsa05160","Hepatitis C"
3478,"D0Z4SB","T09423","hsa04971","Gastric acid secretion"
442793,"D0Y1YR","T84040","hsa04750","Inflammatory mediator regulation of TRP channels"
5775,"D01JUF","T67162","hsa04015","Rap1 signaling pathway"
5775,"D01JUF","T67162","hsa04024","cAMP signaling pathway"
5775,"D01JUF","T67162","hsa04080","Neuroactive ligand-receptor interaction"
5775,"D01JUF","T67162","hsa04540","Gap junction"
5775,"D01JUF","T67162","hsa04728","Dopaminergic synapse"
5775,"D01JUF","T67162","hsa05012","Parkinson's disease"
5775,"D01JUF","T67162","hsa05030","Cocaine addiction"
5775,"D01JUF","T67162","hsa05034","Alcoholism"
4507,"D0A1DH","T84316","hsa04010","MAPK signaling pathway"
4507,"D0A1DH","T84316","hsa04260","Cardiac muscle contraction"
4507,"D0A1DH","T84316","hsa04261","Adrenergic signaling in cardiomyocytes"
4507,"D0A1DH","T84316","hsa04921","Oxytocin signaling pathway"
4507,"D0A1DH","T84316","hsa05410","Hypertrophic cardiomyopathy (HCM)"
4507,"D0A1DH","T84316","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
4507,"D0A1DH","T84316","hsa05414","Dilated cardiomyopathy"
16362,"D00KHM","T67162","hsa04015","Rap1 signaling pathway"
16362,"D00KHM","T67162","hsa04024","cAMP signaling pathway"
16362,"D00KHM","T67162","hsa04080","Neuroactive ligand-receptor interaction"
16362,"D00KHM","T67162","hsa04540","Gap junction"
16362,"D00KHM","T67162","hsa04728","Dopaminergic synapse"
16362,"D00KHM","T67162","hsa05012","Parkinson's disease"
16362,"D00KHM","T67162","hsa05030","Cocaine addiction"
16362,"D00KHM","T67162","hsa05034","Alcoholism"
3034034,"D03DDR","T12819","hsa04115","p53 signaling pathway"
3034034,"D03DDR","T12819","hsa04120","Ubiquitin mediated proteolysis"
3356,"D03DAP","T12819","hsa04115","p53 signaling pathway"
3356,"D03DAP","T12819","hsa04120","Ubiquitin mediated proteolysis"
5494,"D01WXA","T64591","hsa04726","Serotonergic synapse"
3955,"D0CS2F","T58992","hsa04022","cGMP-PKG signaling pathway"
3955,"D0CS2F","T58992","hsa04071","Sphingolipid signaling pathway"
3955,"D0CS2F","T58992","hsa04080","Neuroactive ligand-receptor interaction"
5503,"D09FJB","T09423","hsa04971","Gastric acid secretion"
3371,"D0B2WJ","T11211","hsa04114","Oocyte meiosis"
3371,"D0B2WJ","T11211","hsa05200","Pathways in cancer"
3371,"D0B2WJ","T11211","hsa05215","Prostate cancer"
3371,"D0B2WJ","T60529","hsa00590","Arachidonic acid metabolism"
3371,"D0B2WJ","T60529","hsa01100","Metabolic pathways"
3371,"D0B2WJ","T60529","hsa04611","Platelet activation"
3371,"D0B2WJ","T60529","hsa04726","Serotonergic synapse"
3371,"D0B2WJ","T60857","hsa00140","Steroid hormone biosynthesis"
3371,"D0B2WJ","T60857","hsa00590","Arachidonic acid metabolism"
3371,"D0B2WJ","T60857","hsa01100","Metabolic pathways"
3371,"D0B2WJ","T60857","hsa04913","Ovarian steroidogenesis"
3371,"D0B2WJ","T66665","hsa00590","Arachidonic acid metabolism"
3371,"D0B2WJ","T66665","hsa01100","Metabolic pathways"
3371,"D0B2WJ","T66665","hsa04064","NF-kappa B signaling pathway"
3371,"D0B2WJ","T66665","hsa04370","VEGF signaling pathway"
3371,"D0B2WJ","T66665","hsa04668","TNF signaling pathway"
3371,"D0B2WJ","T66665","hsa04723","Retrograde endocannabinoid signaling"
3371,"D0B2WJ","T66665","hsa04726","Serotonergic synapse"
3371,"D0B2WJ","T66665","hsa04913","Ovarian steroidogenesis"
3371,"D0B2WJ","T66665","hsa04921","Oxytocin signaling pathway"
3371,"D0B2WJ","T66665","hsa04923","Regulation of lipolysis in adipocytes"
3371,"D0B2WJ","T66665","hsa05140","Leishmaniasis"
3371,"D0B2WJ","T66665","hsa05200","Pathways in cancer"
3371,"D0B2WJ","T66665","hsa05204","Chemical carcinogenesis"
3371,"D0B2WJ","T66665","hsa05206","MicroRNAs in cancer"
3371,"D0B2WJ","T66665","hsa05222","Small cell lung cancer"
4552,"D09BVL","T67063","hsa04022","cGMP-PKG signaling pathway"
4552,"D09BVL","T67063","hsa04270","Vascular smooth muscle contraction"
4552,"D09BVL","T67063","hsa04911","Insulin secretion"
4552,"D09BVL","T67063","hsa04970","Salivary secretion"
4552,"D09BVL","T67063","hsa04972","Pancreatic secretion"
4932,"D0J2KV","T12819","hsa04115","p53 signaling pathway"
4932,"D0J2KV","T12819","hsa04120","Ubiquitin mediated proteolysis"
16231,"D0I0RJ","T55094","hsa04750","Inflammatory mediator regulation of TRP channels"
4549,"D08DQL","T84040","hsa04750","Inflammatory mediator regulation of TRP channels"
4549,"D08DQL","T50066","hsa04978","Mineral absorption"
39186,"D0OB1J","T84316","hsa04010","MAPK signaling pathway"
39186,"D0OB1J","T84316","hsa04260","Cardiac muscle contraction"
39186,"D0OB1J","T84316","hsa04261","Adrenergic signaling in cardiomyocytes"
39186,"D0OB1J","T84316","hsa04921","Oxytocin signaling pathway"
39186,"D0OB1J","T84316","hsa05410","Hypertrophic cardiomyopathy (HCM)"
39186,"D0OB1J","T84316","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
39186,"D0OB1J","T84316","hsa05414","Dilated cardiomyopathy"
1775,"D0E4DW","T29303","hsa04728","Dopaminergic synapse"
3488,"D05LYX","T91480","hsa02010","ABC transporters"
3488,"D05LYX","T91480","hsa04911","Insulin secretion"
3488,"D05LYX","T91480","hsa04930","Type II diabetes mellitus"
5505,"D06OIV","T91480","hsa02010","ABC transporters"
5505,"D06OIV","T91480","hsa04911","Insulin secretion"
5505,"D06OIV","T91480","hsa04930","Type II diabetes mellitus"
4488,"D00HGB","T66665","hsa00590","Arachidonic acid metabolism"
4488,"D00HGB","T66665","hsa01100","Metabolic pathways"
4488,"D00HGB","T66665","hsa04064","NF-kappa B signaling pathway"
4488,"D00HGB","T66665","hsa04370","VEGF signaling pathway"
4488,"D00HGB","T66665","hsa04668","TNF signaling pathway"
4488,"D00HGB","T66665","hsa04723","Retrograde endocannabinoid signaling"
4488,"D00HGB","T66665","hsa04726","Serotonergic synapse"
4488,"D00HGB","T66665","hsa04913","Ovarian steroidogenesis"
4488,"D00HGB","T66665","hsa04921","Oxytocin signaling pathway"
4488,"D00HGB","T66665","hsa04923","Regulation of lipolysis in adipocytes"
4488,"D00HGB","T66665","hsa05140","Leishmaniasis"
4488,"D00HGB","T66665","hsa05200","Pathways in cancer"
4488,"D00HGB","T66665","hsa05204","Chemical carcinogenesis"
4488,"D00HGB","T66665","hsa05206","MicroRNAs in cancer"
4488,"D00HGB","T66665","hsa05222","Small cell lung cancer"
