"cid","tid","TARGETID","UNIPROID","TARGNAME","GENENAME","TARGTYPE","BIOCLASS"
941361,"D05CEU","T54644","CAC1H_HUMAN","Voltage-gated calcium channel alpha Cav3.2 (CACNA1H)","CACNA1H","Successful target","Voltage-gated ion channel"
941361,"D05CEU","T34949","CAC1A_HUMAN","Voltage-gated calcium channel alpha Cav2.1 (CACNA1A)","CACNA1A","Successful target","Voltage-gated ion channel"
2157,"D0L5WM","T67952",NA,"Potassium channel unspecific (KC)",NA,NA,NA
4826,"D02KMO","T67952",NA,"Potassium channel unspecific (KC)",NA,NA,NA
245005,"D0A1MW","T39716","SCN5A_HUMAN","Voltage-gated sodium channel alpha Nav1.5 (SCN5A)","SCN5A","Successful target","Voltage-gated ion channel"
11317883,"D08LUJ","T92328","RYR1_HUMAN","Ryanodine receptor 1 (RYR1)","RYR1","Discontinued target","Ryanodine-inositol 1,4,5-triphosphate receptor calcium channel"
3423,"D06XTT","T51115","CAC1C_HUMAN","Voltage-gated calcium channel alpha Cav1.2 (CACNA1C)","CACNA1C","Successful target","Voltage-gated ion channel"
4201,"D0Y2CJ","T67952",NA,"Potassium channel unspecific (KC)",NA,NA,NA
1727,"D08YIN","T67952",NA,"Potassium channel unspecific (KC)",NA,NA,NA
4913,"D0U5SI","T12819","COP1_HUMAN","E3 ubiquitin-protein ligase COP1 (RFWD2)","RFWD2","Successful target","Acyltransferase"
4485,"D04OSE","T82266",NA,"Voltage-gated L-type calcium channel (L-CaC)",NA,NA,"Voltage-gated ion channel"
1236,"D05IML","T92609","ADA1A_HUMAN","Adrenergic receptor alpha-1A (ADRA1A)","ADRA1A","Successful target","GPCR rhodopsin"
1236,"D05IML","T51115","CAC1C_HUMAN","Voltage-gated calcium channel alpha Cav1.2 (CACNA1C)","CACNA1C","Successful target","Voltage-gated ion channel"
1236,"D05IML","T53381","ADA1D_HUMAN","Adrenergic receptor alpha-1D (ADRA1D)","ADRA1D","Successful target","GPCR rhodopsin"
1236,"D05IML","T29500","ADA1B_HUMAN","Adrenergic receptor alpha-1B (ADRA1B)","ADRA1B","Successful target","GPCR rhodopsin"
105008,"D0V4WT","T67063","KCMB4_HUMAN","Charybdotoxin receptor beta-4 (BKbeta4)","KCNMB4","Clinical trial target",NA
105008,"D0V4WT","T52297","NR1H3_HUMAN","Oxysterols receptor LXR-alpha (NR1H3)","NR1H3","Patented-recorded target","Nuclear hormone receptor"
3478,"D0Z4SB","T09423","KCJ10_HUMAN","Inward rectifier potassium channel Kir1.2 (KCNJ10)","KCNJ10","Successful target","Inward rectifier potassium channel"
3676,"D0X4RN","T34123","SCNBA_HUMAN","Voltage-gated sodium channel alpha Nav1.9 (SCN11A)","SCN11A","Successful target","Voltage-gated ion channel"
442793,"D0Y1YR","T84040","TRPA1_HUMAN","Transformation-sensitive protein p120 (TRPA1)","TRPA1","Successful target","Transient receptor potential catioin channel"
4497,"D0XN1F","T45993",NA,"Calcium channel unspecific (CaC)",NA,NA,NA
4474,"D0T0KA","T45993",NA,"Calcium channel unspecific (CaC)",NA,NA,NA
129348,"D0U8IJ","T67952",NA,"Potassium channel unspecific (KC)",NA,NA,NA
5775,"D01JUF","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
446378,"D02KGR","T23761",NA,"Sarcoplasmic/endoplasmic reticulum calcium ATPase (ATP2A)",NA,NA,"Acid anhydrides hydrolase"
4507,"D0A1DH","T84316","CA2D1_HUMAN","Voltage-gated calcium channel alpha-2/delta-1 (CACNA2D1)","CACNA2D1","Successful target","Voltage-gated ion channel"
16362,"D00KHM","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
3034034,"D03DDR","T12819","COP1_HUMAN","E3 ubiquitin-protein ligase COP1 (RFWD2)","RFWD2","Successful target","Acyltransferase"
3356,"D03DAP","T12819","COP1_HUMAN","E3 ubiquitin-protein ligase COP1 (RFWD2)","RFWD2","Successful target","Acyltransferase"
3356,"D03DAP","T34123","SCNBA_HUMAN","Voltage-gated sodium channel alpha Nav1.9 (SCN11A)","SCN11A","Successful target","Voltage-gated ion channel"
5494,"D01WXA","T64591","5HT3A_HUMAN","5-HT 3A receptor (HTR3A)","HTR3A","Successful target","GPCR rhodopsin"
122292,"D03IVC","T82266",NA,"Voltage-gated L-type calcium channel (L-CaC)",NA,NA,"Voltage-gated ion channel"
3955,"D0CS2F","T58992","OPRD_HUMAN","Opioid receptor delta (OPRD1)","OPRD1","Successful target","GPCR rhodopsin"
5503,"D09FJB","T09423","KCJ10_HUMAN","Inward rectifier potassium channel Kir1.2 (KCNJ10)","KCNJ10","Successful target","Inward rectifier potassium channel"
3371,"D0B2WJ","T11211","ANDR_HUMAN","Androgen receptor (AR)","AR","Successful target","Nuclear hormone receptor"
3371,"D0B2WJ","T60529","PGH1_HUMAN","Prostaglandin G/H synthase 1 (COX-1)","PTGS1","Successful target","Paired donor oxygen oxidoreductase"
3371,"D0B2WJ","T60857","AK1C3_HUMAN","Dihydrodiol dehydrogenase type I (AKR1C3)","AKR1C3","Successful target","Short-chain dehydrogenases reductase"
