"name","cleanm","cid","tid","MolecularWeight","Complexity"
"Antibiotic A-23187","Antibiotic A-23187","11957499",NA,523.6,873
"Flunarizine","Flunarizine","941361","D05CEU",404.5,487
"Amiodarone ","Amiodarone","2157","D0L5WM",645.3,547
"5-Hydroxydecanoate","5-Hydroxydecanoate","1824",NA,187.26,129
"Pinacidil","Pinacidil","4826","D02KMO",245.32,327
"*(D)Aconitine","Aconitine","245005","D0A1MW",645.7,1210
"Ryanodine","Ryanodine","11317883","D08LUJ",493.5,1010
"FPL-64176","FPL-64176","3423","D06XTT",347.4,500
"Ys-035","Ys-035","5714",NA,359.5,347
"Minoxidil sulfate","Minoxidil","4201","D0Y2CJ",209.25,329
"4-Aminopyridine","4-Aminopyridine","1727","D08YIN",94.11,48
"Procainamide","Procainamide","4913","D0U5SI",235.33,221
"Cyclopiazonic Acid","Cyclopiazonic Acid","135398689",NA,336.4,697
"Nifedipine","Nifedipine","4485","D04OSE",346.3,608
"Niguldipine","Niguldipine","1236","D05IML",609.7,1100
"Paxilline","Paxilline","105008","D0V4WT",435.6,868
"Glipizide","Glipizide","3478","D0Z4SB",445.5,697
"Lidocaine","Lidocaine","3676","D0X4RN",234.34,228
"Gingerol","Gingerol","442793","D0Y1YR",294.4,293
"Nimodipine","Nimodipine","4497","D0XN1F",418.4,736
"Nicardipine","Nicardipine","4474","D0T0KA",479.5,856
"PCO-400","PCO-400","129348","D0U8IJ",299.32,544
"Phentolamine","Phentolamine","5775","D01JUF",281.35,363
"Quinidine","Quinidine","441074",NA,324.4,457
"Thapsigargin","Thapsigargin","446378","D02KGR",650.8,1270
"Nitrendipine","Nitrendipine","4507","D0A1DH",360.4,661
"Pimozide","Pimozide","16362","D00KHM",461.5,632
"Penitrem A","Penitrem A","6610243",NA,634.2,1420
"Quinine","Quinine","3034034","D03DDR",324.4,457
"Flecainide","Flecainide","3356","D03DAP",414.34,500
"TMB-8","TMB-8","5494","D01WXA",395.5,388
"*(D)Sdz-202791 R(-)","Sdz-202791","122292","D03IVC",358.3,667
"Loperamide","Loperamide","3955","D0CS2F",477,623
"Tolazamide","Tolazamide","5503","D09FJB",311.4,431
"Flufenamic acid","Flufenamic acid","3371","D0B2WJ",281.23,346
"Phenamil","Phenamil","135403792","D05OEV",305.72,399
"Dantrolene","Dantrolene","6914273","D0I8DD",314.25,524
"U-50488","U-50488","3036289",NA,369.3,428
"NS-1619","NS-1619","4552","D09BVL",362.23,523
"Propafenone","Propafenone","4932","D0J2KV",341.4,368
"IAA-94","IAA-94","3667","D02MYV",357.2,491
"Amiloride","Amiloride","16231","D0I0RJ",229.63,279
"SKF-96365","SKF-96365","104955","D0HQ1W",402.9,393
"Dichlorobenzamil","Dichlorobenzamil","114771","D05IGL",388.6,481
"ZM 226600","ZM 226600","5240098",NA,373.3,573
"QX-314","QX-314","9884487","D0C4JX",343.3,268
"NPPB","NPPB","4549","D08DQL",300.31,377
"Diltiazem","Diltiazem","39186","D0OB1J",414.5,565
"Methoxy Verapamil","Methoxy Verapamil","6603929",NA,484.6,639
"Diazoxide","Diazoxide","3019","D07WEP",230.67,360
"Phenytoin","Phenytoin","1775","D0E4DW",252.27,350
"Amantidine","Amantidine","2130","D02KRS",151.25,144
"Bepridil","Bepridil","2351","D0Y4JJ",366.5,382
