"name","cleanm","cid","tid","MolecularWeight","Complexity","inSmall","structCluster","pharma","night1_sleep","day1_sleep","night2_sleep","day2_sleep","night1_sleepBout","day1_sleepBout","night2_sleepBout","day2_sleepBout","night1_sleepLength","day1_sleepLength","night2_sleepLength","day2_sleepLength","night1_sleepLatency","day1_sleepLatency","night2_sleepLatency","day2_sleepLatency","night1_averageActivity","day1_averageActivity","night2_averageActivity","day2_averageActivity","night1_averageWaking","day1_averageWaking","night2_averageWaking","day2_averageWaking","daymean_averageWaking","nightmean_averageWaking"
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.17546,0.74208,0.39945,0.37986,-0.31311,0.0078884,-0.13756,0.042959,-0.032871,1.1562,0.3577,0.5398,0.059865,0.28175,-0.055837,-0.25507,-0.027595,-0.45832,-0.30429,-0.47534,0.081793,0.17636,0.43057,-0.28418,-0.062151,0.27615
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.23017,0.052603,-0.050469,-0.29435,0.029341,-0.35682,-0.19438,-0.26861,-0.23904,0.42056,-0.033414,-0.15143,-0.12626,-0.26427,0.55703,0.049052,0.097282,0.41279,0.020966,0.55752,0.054251,0.62412,-0.041604,0.51384,0.60517,0.0097902
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.27265,-0.36328,-0.050349,-0.066307,-0.072541,-0.40803,-0.3285,0.22652,-0.1526,-0.30737,-0.045851,-0.24291,-0.11312,-0.060659,-0.11616,0.065265,-0.0092369,0.59744,-0.10098,-0.1157,-0.32656,0.44086,-0.15811,-0.21115,0.12428,-0.26894
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.67786,-0.25503,-0.38844,-0.017329,0.089669,-0.081088,0.0064803,0.24017,-0.39691,-0.27829,-0.19248,-0.21552,0.50549,0.42945,-0.12492,-0.072479,0.3031,-0.26997,0.44529,-0.55251,-0.10526,-0.51941,0.02551,-0.66855,-0.68683,-0.017181
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.81528,0.18368,0.032212,0.087384,-0.26326,0.26944,0.48251,0.47011,-0.50006,-0.07458,-0.16078,-0.14042,0.15171,0.25069,0.094721,0.020366,0.076026,-0.40642,-0.3227,-0.45105,-0.46138,-0.38899,-0.41194,-0.52883,-0.48882,-0.53458
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.6983,-0.05175,0.048213,-0.22695,-0.18365,0.090807,0.23889,-0.11812,-0.4773,-0.083293,-0.061541,-0.1864,0.12469,0.14434,-0.20398,-0.27281,0.13116,-0.017109,-0.27795,0.39746,-0.25709,0.012847,-0.28453,0.34249,0.20182,-0.32533
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.35434,0.25802,0.098408,0.1378,0.14307,0.025015,-0.11994,0.14477,-0.14505,0.28295,0.11454,0.07462,-0.15404,0.68773,0.10491,0.50104,-0.26519,-0.27259,-0.37558,-0.62592,-0.72843,-0.17043,-0.44992,-0.58658,-0.46716,-0.72107
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.03916,0.19414,0.27244,0.060573,-0.3566,-0.37463,-0.049629,0.35547,0.021508,0.73217,0.17707,-0.17505,-0.0080946,-0.06734,-0.37873,-0.19021,-0.39259,-0.26851,-0.34478,-0.34866,-0.78474,0.043039,-0.28032,-0.38056,-0.23042,-0.63914
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.59984,-0.34554,-0.8909,-0.06282,-0.81876,-0.8083,-1.2756,-0.48658,0.32279,0.016038,-0.08538,0.23149,-0.35435,0.16001,0.17897,-0.21676,0.29259,0.38642,0.50725,0.27879,0.14407,0.30546,0.11546,0.3027,0.32814,0.14881
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.49183,0.010906,-0.70723,0.08958,0.37065,0.0033116,-0.45804,-0.052955,-0.24757,-0.093879,-0.12912,0.018697,0.27382,-0.13411,-0.059531,-0.33855,0.175,-0.056235,0.2933,0.01041,0.030577,0.057783,0.061722,0.17887,0.12579,0.054049
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.16795,0.37033,0.38777,0.3362,0.1398,0.11663,-0.18242,0.43635,-0.094587,0.16157,0.36231,0.018516,-0.22379,-0.25066,-0.086827,-0.30524,-0.46428,-0.61601,-0.66997,-0.77503,-0.52583,-0.58263,-0.67316,-0.90936,-0.82134,-0.68625
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.36126,0.23313,0.64805,0.23377,0.085831,0.50006,-0.15985,0.8983,-0.12947,-0.095848,0.47389,-0.23867,-0.30864,-0.053403,-0.49693,-0.30133,-0.53453,-0.38129,-0.57015,-0.59733,-0.52044,-0.28471,-0.14143,-0.73074,-0.55878,-0.46175
