"name","cleanm","cid","tid","nfingerprints","library","concentration","MolecularWeight","Complexity","inSmall","structCluster","pharma","day1_sleep","day2_sleep","day1_sleepBout","day2_sleepBout","day1_sleepLength","day2_sleepLength","day1_sleepLatency","day2_sleepLatency","day1_averageActivity","day2_averageActivity","day1_averageWaking","day2_averageWaking","daymean_averageWaking","night1_sleep","night2_sleep","night1_sleepBout","night2_sleepBout","night1_sleepLength","night2_sleepLength","night1_sleepLatency","night2_sleepLatency","night1_averageActivity","night2_averageActivity","night1_averageWaking","night2_averageWaking","nightmean_averageWaking"
"Antibiotic A-23187/Calcimycin","Antibiotic A-23187/Calcimycin",11957499,NA,2,"Ion Channel/LOPAC","15 uM/10 uM",523.6,"873/873",FALSE,"298/298","CHA-CA-/CHA-CA-",2.8497,3.22275,-2.1237,-2.05385,160.1825,167.225,4.12165,0.49775,-1.5518,-1.597,-2.31565,-1.17805,-2.46045,1.74135,2.4609,-3.0344,-3.85325,0,0,0,0,-1.2105,-1.74835,-2.52565,-1.68655,-3.18295
"Flunarizine/Flunarizine dihydrochloride/Flunarizine dihydrochloride/Flunarizine Hydrochloride","Flunarizine/Flunarizine/Flunarizine/Flunarizine",941361,"D05CEU",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",404.5,"487/487/487/487",FALSE,"256/256/256/256","CHA-CA-/CHA-CA-/CHA-CA-/CHA-CA-",2.391125,2.6136275,-1.2818775,-1.332413,76.807212,119.54755,1.955084,1.1565525,-1.215075,-1.410675,-1.0157831,-1.274845,-1.634115,1.16064,2.1373525,-2.3743585,-3.030385,5.3718575,10.9647,0.52885475,1.1410475,-0.342375,-1.1760495,-1.199775,-0.75,-1.488975
"Amiodarone /Amiodarone hydrochloride/Amiodarone Hydrochloride/amiodarone/AMIODARONE HYDROCHLORIDE","Amiodarone/Amiodarone/Amiodarone/amiodarone/AMIODARONE",2157,"D0L5WM",5,"NA/LOPAC/Prestwick/Randall Peterson/Spectrum","?/10 uM/15 uM/?/30 uM",645.3,"547/547/547/547/547",FALSE,"641/641/641/641/641","POL-/POL-/POL-/POL-/POL-",1.06048,1.626766,-0.744604,-0.5939336,46.06477,89.674176,1.08499,1.015942,-0.633958,-0.962348,-0.900048,-0.57891716,-1.0128152,0.8513776,1.8319326,-1.6567754,-2.188083,21.6682892,7.5630076,1.2176184,0.8282982,-0.512934,-1.333286,-0.604466,-1.052022,-0.855136
"5-Hydroxydecanoate","5-Hydroxydecanoate",1824,NA,1,"Ion Channel","15 uM",187.26,"129",FALSE,"835","CHA-K-",0.15973,-0.23646,-0.2619,-0.25983,0.27882,-0.20005,1.5269,0.23329,0.21779,0.32637,0.4269,0.38783,0.43369,-0.64206,-0.30409,0.14083,0.39816,-0.48582,-0.29299,0.21842,-0.43753,0.089879,0.19702,-0.3292,0.090009,-0.14549
"Pinacidil/Pinacidil/Pinacidil/PINACIDIL","Pinacidil/Pinacidil/Pinacidil/PINACIDIL",4826,"D02KMO",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",245.32,"327/327/327/327",FALSE,"328/328/328/328","CHA-K+/CHA-K+/CHA-K+/CHA-K+",0.18627,0.1819385,-0.12011375,-0.02471225,0.26931575,0.14722925,-0.2883775,-0.28151,0.1156175,0.2194625,0.2993675,0.46434025,0.4169805,0.1198925,0.00308,0.0946375,-0.26559,-0.02661725,0.1379925,0.00583775,0.2129775,-0.211227,0.1397215,-0.1292735,0.17952375,-0.00179180000000001
"*(D)Aconitine/Aconitine/Aconitine","Aconitine/Aconitine/Aconitine",245005,"D0A1MW",3,"Ion Channel/Prestwick/Spectrum","15 uM/15 uM/30 uM",645.7,"1210/1210/1210",TRUE,"447/447/447","CHA-NA+/CHA-NA+/CHA-NA+",-0.253266666666667,-0.274923333333333,-0.505726666666667,-0.888833333333333,0.0898463333333333,4.19752666666667,1.90265333333333,2.18416,1.1726,0.551583333333333,0.883033333333333,0.0152133333333334,0.42425,-1.90856,-1.58976666666667,-2.0239,-2.44726666666667,3.35093666666667,-0.429767333333333,4.81786666666667,2.0846,18.90671,7.3832,9.88996666666667,5.39053333333333,9.3753
"Ryanodine/ryanodine","Ryanodine/ryanodine",11317883,"D08LUJ",2,"Ion Channel/Randall Peterson","15 uM/?",493.5,"1010/1010",FALSE,"473/473","CHA-CA-i/CHA-CA-i",-0.06923,0.221015,0.455345,0.663885,-0.40973,-0.21602,-0.296575,-0.06009645,0.202715,-0.295835,0.207075,-0.291125,-0.062085,-0.1128,0.210286735,0.0096379,0.305335,-0.043805,0.171625,-0.0829415,-0.343085,-0.06121,-0.396115,-0.103075,-0.277305,-0.276645
"FPL-64176/FPL 64176","FPL-64176/FPL 64176",3423,"D06XTT",2,"Ion Channel/LOPAC","15 uM/10 uM",347.4,"500/500",FALSE,"410/410","CHA-CA+/CHA-CA+",1.8183,2.6262,-0.73893,-0.390499,65.7842,97.80825,0.65976,0.6515315,-1.438705,-1.90945,-1.6657,-1.75085,-1.98355,1.034975,1.70465,-2.5833,-2.1202,28.81405,7.3726,3.58188,0.7461485,-0.448125,-0.3457,-1.182565,-1.15523,-1.42174
"Ys-035/Ys-035 Hydrochloride","Ys-035/Ys-035",5714,NA,2,"Ion Channel/LOPAC","15 uM/10 uM",359.5,"347/347",TRUE,"621/621","CHA-CA-/CHA-CA-",1.3827,2.6586,0.398165,0.464862,1.0892,2.78105,-0.35899,-0.47739,-0.70629,-1.66165,0.477345,-0.4752835,-0.01923,0.49877,1.98095,-0.04575,-1.14939,0.319875,3.5135,-0.284655,-0.34977,-0.079165,-1.3775,0.62209,0.26138,0.434335
"Minoxidil sulfate/Minoxidil/Minoxidil/Minoxidil    /minoxidil/MINOXIDIL","Minoxidil/Minoxidil/Minoxidil/Minoxidil   /minoxidil/MINOXIDIL",4201,"D0Y2CJ",6,"Ion Channel/LOPAC/Prestwick/NA/Randall Peterson/Spectrum","15 uM/10 uM/15 uM/?/?/30 uM",209.25,"329/329/329/329/329/329",FALSE,"176/176/176/176/176/176","CHA-K+/CHA-K+/CHA-K+/CHA-K+/CHA-K+/CHA-K+",-0.01513,-0.0946313666666666,0.0495183333333333,0.255759783333333,0.00860949999999999,-0.0750066666666667,0.406061333333333,0.0623916666666667,0.376428333333333,0.0178111666666667,0.531071666666667,-0.0529486666666667,0.221568666666667,-0.0641133333333333,0.15964,0.0144376666666667,0.115533333333333,-0.000466666666666662,0.132776833333333,0.00582853333333334,-0.1416495,-0.0585728333333333,-0.281576166666667,-0.109769166666667,-0.224053333333333,-0.2220385
"4-Aminopyridine/4-Aminopyridine","4-Aminopyridine/4-Aminopyridine",1727,"D08YIN",2,"Ion Channel/LOPAC","15 uM/10 uM",94.11,"48/48",FALSE,"768/768","CHA-K-/CHA-K-",0.070625,0.0018415,0.29194,0.25602,-0.042985,-0.1485262,0.154095,-0.126115,0.045672,-0.002345,0.177529,-0.00645499999999999,0.0956465,-0.208675,0.191005,0.148525,0.252405,-0.2268185,-0.0507125,0.00361,-0.0861685,0.080905,0.1079095,-0.0577205,0.052975,-0.0328135
"Procainamide/Procainamide hydrochloride/Procainamide hydrochloride/procainamide/PROCAINAMIDE HYDROCHLORIDE","Procainamide/Procainamide/Procainamide/procainamide/PROCAINAMIDE",4913,"D0U5SI",5,"Ion Channel/LOPAC/Prestwick/Randall Peterson/Spectrum","15 uM/10 uM/15 uM/?/30 uM",235.33,"221/221/221/221/221",FALSE,"323/323/323/323/323","CHA-NA-/CHA-NA-/CHA-NA-/CHA-NA-/CHA-NA-",0.202348,0.25694,0.2670366,0.435304,0.11902,-0.015552,-0.383414,0.0247785,0.143852,0.12111,0.3917102,0.2471426,0.3526962,0.214738,0.311804,0.2046938,-0.2231406,-0.00574599999999999,0.7159601,-0.069852,-0.0981096,-0.157418,0.16778,0.034298,0.2900646,0.1473148
"Cyclopiazonic Acid/CYCLOPIAZONIC ACID","Cyclopiazonic Acid/CYCLOPIAZONIC ACID",135398689,NA,2,"Ion Channel/Spectrum","15 uM/30 uM",336.4,"697/697",TRUE,"779/779","CHA-CA-i/CHA-CA-i",0.826705,0.76779,-0.251085,-0.19579,-0.250896,39.68222,-0.28248,0.10979,-0.297,-0.26985,-0.601855,-0.250905,-0.551515,0.245575,0.51938,-0.54978,-0.633225,-0.058635,-0.229545,0.04407345,-0.156105,-0.4367685,-0.517995,-0.77783,-0.854985,-0.9786
"Nifedipine/Nifedipine/NIFEDIPINE","Nifedipine/Nifedipine/NIFEDIPINE",4485,"D04OSE",3,"Ion Channel/Prestwick/Spectrum","15 uM/15 uM/30 uM",346.3,"608/608/608",FALSE,"643/643/643","CHA-CA-/CHA-CA-/CHA-CA-",0.591243333333333,1.07786333333333,0.569811,0.958526666666667,0.407561666666667,0.622151,0.2171,-0.255783333333333,-0.39383,-0.691696666666667,-0.1247,-0.380573333333333,-0.271358333333333,-0.255416666666667,0.593366666666667,0.388957666666667,0.189073333333333,-0.33565,0.490158666666667,-0.165153333333333,-0.388643333333333,0.24699,-0.107232,0.19342,0.496555,0.398026666666667
"Niguldipine","Niguldipine",1236,"D05IML",1,"Ion Channel","15 uM",609.7,"1100",FALSE,"643","CHA-CA",3.4054,3.7335,-1.6378,-1.2158,6.2238,92.376,1.3592,0.0046998,-1.7453,-1.9378,-2.1036,-1.6713,-2.0194,1.9689,2.9729,-3.2234,-4.0621,108.4,118.67,6.8758,6.1193,-1.3093,-2.1696,-2.755,-3.1234,0
"Paxilline","Paxilline",105008,"D0V4WT",1,"Ion Channel","15 uM",435.6,"868",FALSE,"184","CHA-K-",2.8945,2.0464,-0.49764,0.2061,3.1868,17.316,0.7327,-0.30974,-1.4327,-1.0366,-1.0209,-0.74778,-0.84195,1.651,2.3364,-2.0364,-2.6844,8.7545,20.417,-0.46581,1.5477,-0.85152,-1.346,2.859,-0.69144,1.3471
"Glipizide/Glipizide/Glipizide","Glipizide/Glipizide/Glipizide",3478,"D0Z4SB",3,"Ion Channel/LOPAC/Prestwick","15 uM/10 uM/15 uM",445.5,"697/697/697",FALSE,"730/730/730","CHA-K-/CHA-K-/CHA-K-",0.52495,0.731143333333333,0.34849,0.555696666666667,0.105212,0.45568,-0.261276666666667,-0.35635,-0.263404666666667,-0.298249666666667,0.0160666666666666,0.145475333333333,0.09015,0.302893333333333,0.417746666666667,-0.00372,0.323423333333333,0.1071,0.184534666666667,-0.267463333333333,-0.0659566666666667,-0.539907333333333,-0.332883333333333,-0.77071,-0.0366166666666667,-0.495383333333333
